"time" "coef" "e.time" "e.coef"
890 0.1 815.555 0.03
891 0.11 878.63 0.02
892 0.05 931.005 0.02
896 0.09 969.95 0.07
896 0.16 779.775 0.035
898 0.11 1033.9 0.03
900 0.17 785.21 0.02
902 0.16 957.98 0.07
907 0.09 830.045 0.04
907 0.16 981.37 0.02
907 0.1 941.24 0.01
909 0.17 914.315 0.06
911 0.05 889.59 0.04
912 0.05 741.895 0.06
912 0.1 889.07 0.06
915 0.16 827.33 0.03
917 0.19 816.55 0.03
919 0.14 738.41 0.05
922 0.15 887.12 0.05
923 0.14 885.815 0.025
924 0.17 855.46 0.03
926 0.09 732.17 0.03
928 0.04 790.935 0.04
932 0.12 829.28 0.01
932 0.14 998.485 0.02
933 0.15 710.07 0.03
934 0.08 815.46 0.04
935 0.07 913.31 0.01
935 0.17 913.61 0.02
936 0.11 793.48 0.04
936 0.19 841.58 0.03
939 0.07 874.73 0.03
940 0.06 1002.4 0.0013613584445911
941 0.15 829.37 0.08
941 0.1 928.64 0.03
942 0.13 946.51 0.03
942 0.19 895.94 0.02
943 0.05 888.9 0.04
945 0.04 917.16 0.01
950 0.15 850.71 0.03
956 0.16 923.61 0.04
957 0.03 823.085 0.02
959 0.08 912.465 0.385
960 0.03 969.12 0.02
960 0.18 907.87 0.04
962 0.11 793.54 0.07
967 0.06 909.09 0.03
967 0.09 895.06 0.04
967 0.14 947.03 0.17
971 0.09 894.39 0.02
971 0.15 969.42 0.04
972 0.19 894.29 0.03
976 0.12 843.05 0.06
982 0.11 842.63 0.02
983 0.16 833.04 0.02
984 0.03 789.47 0.02
985 0.11 864.2 0.02
986 0.07 893.13 0.04
987 0.15 992.68 0.02
987 0.16 964.41 0.04
988 0.07 888.41 0.06
991 0.13 863.34 0.08
993 0.03 955.66 0.06
