"time" "coef" "e.time" "e.coef"
2050 0.05 1616.7 0.03
2050 0.12 1606.55 0.03
2050 0.13 1524.6 0.03
2055 0.12 1595.56 0.03
2057 0.2 1680.25 0.05
2058 0.06 1796.33 0.02
2059 0.06 1586.17 0.02
2060 0.14 1819.175 0.03
2060 0.19 1398.36 0.05
2061 0.02 1804.77 0.02
2061 0.13 1667.06 0.04
2062 0.04 1764.09 0.02
2062 0.13 1568.805 0.01
2066 0.08 1605.23 0.03
2067 0.11 984.09 0.04
2069 0.13 1400.09 0.02
2069 0.18 1839.64 0.03
2071 0.15 2069.17 0.03
2071 0.16 1656.2 0.02
2072 0.05 1493.275 0.03
2072 0.1 1525.48 0.04
2073 0.07 1525.345 0.02
2074 0.09 1590.05 0.02
2078 0.05 1221.91 0.01
2078 0.19 1528.63 0.01
2079 0.08 1593.73 0.02
2082 0.06 1557.68 0.02
2083 0.18 1364.5 0.04
2084 0.2 1398.53 0.02
2085 0.18 1574.82 0.04
2087 0.14 1442.61 0.03
2088 0.12 1469.29 0.03
2091 0.1 1436.96 0.03
2092 0.08 1368.73 0.03
2093 0.1 1847.9 0.05
2097 0.11 1485.21 0.03
2099 0.06 1973.01 0.02
2100 0.19 1699.4 0.02
2102 0.1 1744.38 0.03
2106 0.08 1553.01 0.03
2108 0.08 1733.36 0.04
2109 0.05 1423.955 0.02
2110 0.06 1842.9 0.01
2110 0.11 1705.22 0.02
2110 0.12 1470.02 0.02
2111 0.07 1512.91 0.02
2112 0.08 1453.82 0.02
2112 0.11 1742.04 0.02
2117 0.12 1780.485 0.02
2117 0.13 1605.55 0.01
2117 0.18 1632.79 0.03
2118 0.05 1734.58 0.02
2118 0.13 1582.44 0.02
2119 0.1 1367.57 0.03
2121 0.17 1601.45 0.04
2125 0.02 1366.67 0.01
2126 0.09 1532.43 0.04
2126 0.16 1835.02 0.03
2126 0.2 1145.63 0.03
2128 0.03 1549.49 0.03
2128 0.06 1715.21 0.03
2128 0.11 1614.16 0.02
2130 0.18 1978.86 0.02
2132 0.02 1789.56 0.01
2133 0.06 1513.26 0.02
2134 0.11 1651.33 0.04
2135 0.02 1701.59 0.02
2135 0.12 1668.38 0.02
2136 0.2 1705.38 0.02
2138 0.2 1665.725 0.04
2140 0.03 1996.13 0.02
2145 0.03 1621.01 0.02
2145 0.15 1611.795 0.02
2147 0.17 1698.58 0.02
2148 0.03 1408.62 0.03
2149 0.04 1774.415 0.02
2155 0.09 1923.32 0.02
2157 0.19 1901.04 0.02
2158 0.06 1581.89 0.02
2161 0.14 1060.59 0.03
2162 0.04 1615.81 0.01
2165 0.05 1231.23 0.03
2166 0.08 1702.48 0.02
2166 0.09 1799.91 0.03
2167 0.13 1733.48 0.04
2169 0.06 1852.57 0.02
2169 0.11 1823.21 0.03
2172 0.11 1697.36 0.03
